Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Attendance;Top Team Scorer;Goalkeeper;Notes
W;Real Madrid;13;9;3;1;35;18;17;30;75,547;Cristiano Ronaldo - 12;Keylor Navas;→ Champions League via playoff win
F;Juventus;13;9;3;1;22;6;16;30;33,642;Gonzalo Higuaín - 5;Gianluigi Buffon;
SF;Atletico Madrid;12;9;1;2;18;10;8;28;46,751;Antoine Griezmann - 6;Jan Oblak;
SF;Monaco;12;5;3;4;19;19;0;18;13,471;Kylian Mbappé - 6;Danijel Subašić;
QF;Barcelona;10;6;1;3;26;12;14;19;85,863;Lionel Messi - 11;Marc-André ter Stegen;
QF;Bayern Munich;10;6;0;4;27;14;13;18;70;Robert Lewandowski - 8;Manuel Neuer;
QF;Dortmund;10;5;2;3;28;16;12;17;63,698;Pierre-Emerick Aubameyang - 7;Roman Bürki;
QF;Leicester City;10;5;2;3;11;10;1;17;31,471;Riyad Mahrez - 4;Kasper Schmeichel;
R16;Paris S-G;8;4;3;1;18;13;5;15;45,516;Edinson Cavani - 8;Alphonse Areola;
R16;Arsenal;8;4;2;2;20;16;4;14;59,869;Mesut Özil, Theo Walcott - 4;David Ospina;
R16;Sevilla;8;4;2;2;9;6;3;14;37,433;Wissam Ben Yedder - 2;Sergio Rico;
R16;Manchester City;8;3;4;1;17;13;4;13;47,065;Sergio Agüero - 5;Willy Caballero;
R16;Porto;8;3;2;3;9;6;3;11;38,794;André Silva - 4;Iker Casillas;
R16;Napoli;8;3;2;3;13;14;-1;11;40,054;Dries Mertens - 5;Pepe Reina;
R16;Benfica;8;3;2;3;11;14;-3;11;51,131;Eduardo Salvio - 3;Ederson;
R16;Leverkusen;8;2;4;2;11;11;0;10;25,894;Kevin Kampl, Kevin Volland... - 1;Bernd Leno;
GR;FC Copenhagen;6;2;3;1;7;2;5;9;30,596;Mathias Jørgensen - 2;Robin Olsen;
GR;Lyon;6;2;2;2;5;3;2;8;50,028;Corentin Tolisso - 2;Anthony Lopes;
GR;Tottenham;6;2;1;3;6;6;0;7;77,519;Harry Kane - 2;Hugo Lloris;
GR;Beşiktaş;6;1;4;1;9;14;-5;7;35,184;Vincent Aboubakar, Ricardo Quaresma - 3;Tolga Zengin;
GR;Dynamo Kyiv;6;1;2;3;8;6;2;5;25,055;Derlis González, Vitaliy Buyalskyi... - 1;Artur Rudko;
GR;Rostov;6;1;2;3;6;12;-6;5;14,419;Dmitry Poloz - 3;Soslan Dzhanayev;
GR;M'Gladbach;6;1;2;3;5;12;-7;5;46,162;Lars Stindl - 2;Yann Sommer;
GR;Legia Warsaw;6;1;1;4;9;24;-15;4;18,512;Aleksandar Prijović, Miroslav Radović - 2;Arkadiusz Malarz;
GR;Sporting CP;6;1;0;5;5;8;-3;3;45,583;Bruno César - 2;Rui Patrício;
GR;CSKA Moscow;6;0;3;3;5;11;-6;3;23,147;Alan Dzagoev - 2;Igor Akinfeev;
GR;Ludogorets;6;0;3;3;6;15;-9;3;22,946;Jonathan Cafu - 2;Vladislav Stoyanov;
GR;Celtic;6;0;3;3;5;16;-11;3;57,781;Moussa Dembélé - 3;Craig Gordon;
GR;PSV Eindhoven;6;0;2;4;4;11;-7;2;34,13;Davy Pröpper, Luuk de Jong... - 1;Jeroen Zoet;
GR;Basel;6;0;2;4;3;12;-9;2;33,83;Seydou Doumbia, Renato Steffen... - 1;Tomáš Vaclík;
GR;Club Brugge;6;0;0;6;2;14;-12;0;21,092;Jelle Vossen, José Izquierdo - 1;Ludovic Butelle;
GR;Dinamo Zagreb;6;0;0;6;0;15;-15;0;12,577;;Dominik Livaković;
