Rk;Squad;MP;W;D;L;GF;GA;GD;Pts;Attendance;Top Team Scorer;Goalkeeper;Notes
W;Real Madrid;13;9;3;1;28;6;22;30;72,831;Cristiano Ronaldo - 16;Keylor Navas;→ Champions League via playoff win
F;Atletico Madrid;13;6;4;3;17;8;9;22;44,276;Antoine Griezmann - 7;Jan Oblak;
SF;Bayern Munich;12;8;2;2;30;11;19;26;70;Robert Lewandowski - 9;Manuel Neuer;
SF;Manchester City;12;6;3;3;18;12;6;21;47,779;Kevin De Bruyne, Raheem Sterling - 3;Joe Hart;
QF;Barcelona;10;7;2;1;22;8;14;23;74,651;Luis Suárez - 8;Marc-André ter Stegen;
QF;Wolfsburg;10;7;0;3;15;11;4;21;23,951;Julian Draxler - 3;Diego Benaglio;
QF;Paris S-G;10;6;2;2;18;6;12;20;46,322;Zlatan Ibrahimović - 5;Kevin Trapp;
QF;Benfica;10;5;2;3;15;12;3;17;45,581;Nicolás Gaitán - 4;Júlio César;
R16;Zenit;8;5;0;3;14;9;5;15;17,575;Artem Dzyuba - 6;Yuri Lodygin;
R16;Chelsea;8;4;1;3;15;7;8;13;40,153;Willian - 5;Asmir Begović;
R16;Dynamo Kyiv;8;3;3;2;9;7;2;12;41,706;Andriy Yarmolenko, Vitaliy Buyalskyi - 2;Oleksandr Shovkovskiy;
R16;Juventus;8;3;3;2;10;9;1;12;39,241;Álvaro Morata, Mario Mandžukić - 2;Gianluigi Buffon;
R16;PSV Eindhoven;8;3;3;2;8;7;1;12;34,81;Luuk de Jong, Maxime Lestienne - 2;Jeroen Zoet;
R16;Gent;8;3;1;4;10;11;-1;10;19,752;Danijel Milićević - 3;Matz Sels;
R16;Arsenal;8;3;0;5;13;15;-2;9;57,029;Olivier Giroud - 5;Petr Čech;
R16;Roma;8;1;3;4;11;20;-9;6;45,324;Miralem Pjanić, Edin Džeko... - 2;Wojciech Szczęsny;
GR;BATE Borisov;12;4;4;4;11;16;-5;16;12,814;Filip Mladenović - 2;Sergei Chernik;
GR;FC Astana;12;3;6;3;14;17;-3;15;23,861;Patrick Twumasi - 2;Nenad Erić;
GR;Dinamo Zagreb;12;4;3;5;17;21;-4;15;17,066;Junior Fernándes, Josip Pivarić... - 1;Eduardo Carvalho;
GR;Manchester Utd;8;4;2;2;14;8;6;14;75,099;Anthony Martial - 2;David de Gea;
GR;Malmö;12;4;1;7;9;26;-17;13;20,5;Markus Rosenberg - 1;Johan Wiland;
GR;CSKA Moscow;10;3;2;5;14;16;-2;11;17,019;Seydou Doumbia - 3;Igor Akinfeev;
GR;Shakhtar;10;3;2;5;13;16;-3;11;30,144;Alex Teixeira - 3;Andriy Pyatov;
GR;Porto;6;3;1;2;9;8;1;10;37,516;Vincent Aboubakar - 3;Iker Casillas;
GR;Leverkusen;8;2;3;3;16;13;3;9;27,701;Javier Hernández - 5;Bernd Leno;
GR;Valencia;8;3;0;5;9;12;-3;9;32,902;João Cancelo, Sofiane Feghouli... - 1;Jaume Doménech;
GR;Olympiacos;6;3;0;3;6;13;-7;9;31,516;Felipe Pardo - 3;Roberto;
GR;Maccabi Tel Aviv;12;2;2;8;13;24;-11;8;27,622;Eran Zahavi - 1;Predrag Rajković;
GR;Sevilla;6;2;0;4;8;11;-3;6;37,267;Yevhen Konoplyanka, Éver Banega - 2;Sergio Rico;
GR;M'Gladbach;6;1;2;3;8;12;-4;5;45,87;Lars Stindl - 3;Yann Sommer;
GR;Galatasaray;6;1;2;3;6;10;-4;5;31,182;Lukas Podolski, Selçuk İnan - 2;Fernando Muslera;
GR;Lyon;6;1;1;4;5;9;-4;4;31,304;Alexandre Lacazette - 2;Anthony Lopes;
