Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
1,Manchester City,13,8,5,0,32,5,27,29,26.5,10.5,16.0,1.23,"63,639",22,33,1,0.6153846153846154,0.38461538461538464,0.0,2.4615384615384617,0.38461538461538464,2.076923076923077,2.230769230769231,2.0384615384615383,0.8076923076923077,1.2307692307692308
2,Inter,13,7,3,3,19,11,8,24,17.9,15.1,2.8,0.22,"71,415",43,29,2,0.5384615384615384,0.23076923076923078,0.23076923076923078,1.4615384615384615,0.8461538461538461,0.6153846153846154,1.8461538461538463,1.376923076923077,1.1615384615384614,0.21538461538461537
SF,Real Madrid,12,8,2,2,26,13,13,26,22.3,15.9,6.4,0.53,"58,761",48,29,4,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.1666666666666665,1.0833333333333333,1.0833333333333333,2.1666666666666665,1.8583333333333334,1.325,0.5333333333333333
SF,Milan,12,5,3,4,15,11,4,18,16.5,14.6,1.9,0.16,"72,546",32,24,4,0.4166666666666667,0.25,0.3333333333333333,1.25,0.9166666666666666,0.3333333333333333,1.5,1.375,1.2166666666666666,0.15833333333333333
QF,Bayern Munich,10,8,1,1,22,6,16,25,19.4,10.9,8.4,0.84,75,14,27,8,0.8,0.1,0.1,2.2,0.6,1.6,2.5,1.94,1.09,0.8400000000000001
QF,Napoli,10,7,1,2,26,8,18,22,25.2,13.0,12.2,1.22,"49,133",40,25,8,0.7,0.1,0.2,2.6,0.8,1.8,2.2,2.52,1.3,1.22
QF,Benfica,10,6,3,1,26,13,13,21,19.0,10.9,8.1,0.81,"60,222",10,25,8,0.6,0.3,0.1,2.6,1.3,1.3,2.1,1.9,1.09,0.8099999999999999
QF,Chelsea,10,5,1,4,12,9,3,16,16.2,10.7,5.5,0.55,"39,216",57,21,8,0.5,0.1,0.4,1.2,0.9,0.3,1.6,1.6199999999999999,1.0699999999999998,0.55
R16,Liverpool,8,5,0,3,19,12,7,15,14.7,10.6,4.1,0.51,"51,578",60,19,16,0.625,0.0,0.375,2.375,1.5,0.875,1.875,1.8375,1.325,0.5125
R16,Paris S-G,8,4,2,2,16,10,6,14,10.8,10.0,0.8,0.1,"46,68",39,19,16,0.5,0.25,0.25,2.0,1.25,0.75,1.75,1.35,1.25,0.1
R16,Porto,8,4,1,3,12,8,4,13,15.2,11.4,3.9,0.48,"44,296",41,18,16,0.5,0.125,0.375,1.5,1.0,0.5,1.625,1.9,1.425,0.4875
R16,RB Leipzig,8,4,1,3,14,17,-3,13,11.7,12.4,-0.8,-0.1,"44,319",27,18,16,0.5,0.125,0.375,1.75,2.125,-0.375,1.625,1.4625,1.55,-0.1
R16,Dortmund,8,3,3,2,11,7,4,12,10.5,11.4,-0.9,-0.12,"78,516",68,18,16,0.375,0.375,0.25,1.375,0.875,0.5,1.5,1.3125,1.425,-0.1125
R16,Tottenham,8,3,3,2,8,7,1,12,10.0,8.8,1.2,0.15,"58,434",81,18,16,0.375,0.375,0.25,1.0,0.875,0.125,1.5,1.25,1.1,0.15
R16,Club Brugge,8,3,2,3,8,11,-3,11,8.0,16.9,-8.9,-1.12,"24,296",24,17,16,0.375,0.25,0.375,1.0,1.375,-0.375,1.375,1.0,2.1125,-1.1125
R16,Eint Frankfurt,8,3,1,4,7,13,-6,10,8.0,12.9,-4.9,-0.61,"49,3",82,16,16,0.375,0.125,0.5,0.875,1.625,-0.75,1.25,1.0,1.6125,-0.6125
GR,Barcelona,6,2,1,3,12,12,0,7,9.9,9.3,0.6,0.1,"84,576",36,9,32,0.3333333333333333,0.16666666666666666,0.5,2.0,2.0,0.0,1.1666666666666667,1.6500000000000001,1.55,0.09999999999999999
GR,Sporting CP,6,2,1,3,8,9,-1,7,3.8,9.8,-6.0,-1.01,"39,923",9,14,32,0.3333333333333333,0.16666666666666666,0.5,1.3333333333333333,1.5,-0.16666666666666666,1.1666666666666667,0.6333333333333333,1.6333333333333335,-1.0
GR,Marseille,6,2,0,4,8,8,0,6,8.6,5.1,3.5,0.59,"37,962",52,8,32,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.0,1.4333333333333333,0.85,0.5833333333333334
GR,Shakhtar,6,1,3,2,8,10,-2,6,3.7,10.9,-7.1,-1.19,"25,257",8,11,32,0.16666666666666666,0.5,0.3333333333333333,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1.0,0.6166666666666667,1.8166666666666667,-1.1833333333333333
GR,RB Salzburg,6,1,3,2,5,9,-4,6,8.3,6.9,1.4,0.23,"29,301",77,9,32,0.16666666666666666,0.5,0.3333333333333333,0.8333333333333334,1.5,-0.6666666666666666,1.0,1.3833333333333335,1.1500000000000001,0.2333333333333333
GR,Ajax,6,2,0,4,11,16,-5,6,8.3,12.2,-3.9,-0.65,"53,028",42,8,32,0.3333333333333333,0.0,0.6666666666666666,1.8333333333333333,2.6666666666666665,-0.8333333333333334,1.0,1.3833333333333335,2.033333333333333,-0.65
GR,Atletico Madrid,6,1,2,3,5,9,-4,5,9.5,9.8,-0.3,-0.05,"58,797",73,8,32,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.5,-0.6666666666666666,0.8333333333333334,1.5833333333333333,1.6333333333333335,-0.049999999999999996
GR,Leverkusen,6,1,2,3,4,8,-4,5,9.0,7.5,1.5,0.26,"28,748",49,19,32,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.8333333333333334,1.5,1.25,0.25
GR,Sevilla,6,1,2,3,6,12,-6,5,5.4,10.2,-4.8,-0.8,"34,415",50,21,32,0.16666666666666666,0.3333333333333333,0.5,1.0,2.0,-1.0,0.8333333333333334,0.9,1.7,-0.7999999999999999
GR,Dinamo Zagreb,6,1,1,4,4,11,-7,4,4.2,12.5,-8.3,-1.39,"20,653",20,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.8333333333333333,-1.1666666666666667,0.6666666666666666,0.7000000000000001,2.0833333333333335,-1.3833333333333335
GR,Juventus,6,1,0,5,9,13,-4,3,8.6,10.6,-2.0,-0.33,"34,534",80,17,32,0.16666666666666666,0.0,0.8333333333333334,1.5,2.1666666666666665,-0.6666666666666666,0.5,1.4333333333333333,1.7666666666666666,-0.3333333333333333
GR,FC Copenhagen,6,0,3,3,1,12,-11,3,4.8,11.2,-6.4,-1.06,"34,086",15,7,32,0.0,0.5,0.5,0.16666666666666666,2.0,-1.8333333333333333,0.5,0.7999999999999999,1.8666666666666665,-1.0666666666666667
GR,Maccabi Haifa,6,1,0,5,7,21,-14,3,6.4,9.6,-3.3,-0.55,"30,317",47,6,32,0.16666666666666666,0.0,0.8333333333333334,1.1666666666666667,3.5,-2.3333333333333335,0.5,1.0666666666666667,1.5999999999999999,-0.5499999999999999
GR,Celtic,6,0,2,4,4,15,-11,2,9.2,10.9,-1.7,-0.29,"57,367",54,6,32,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.5,-1.8333333333333333,0.3333333333333333,1.5333333333333332,1.8166666666666667,-0.2833333333333333
GR,Viktoria Plzen,6,0,0,6,5,24,-19,0,5.5,15.1,-9.5,-1.59,"11,279",87,4,32,0.0,0.0,1.0,0.8333333333333334,4.0,-3.1666666666666665,0.0,0.9166666666666666,2.5166666666666666,-1.5833333333333333
GR,Rangers,6,0,0,6,2,22,-20,0,4.9,14.3,-9.4,-1.57,"49,253",18,4,32,0.0,0.0,1.0,0.3333333333333333,3.6666666666666665,-3.3333333333333335,0.0,0.8166666666666668,2.3833333333333333,-1.5666666666666667
