Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
W,Real Madrid,13,9,2,2,33,16,17,29,33.0,20.0,13.1,1.01,"75,398",48,32,1,0.6923076923076923,0.15384615384615385,0.15384615384615385,2.5384615384615383,1.2307692307692308,1.3076923076923077,2.230769230769231,2.5384615384615383,1.5384615384615385,1.0076923076923077
F,Liverpool,13,7,4,2,41,16,25,25,33.0,13.2,19.7,1.52,"49,96",60,30,2,0.5384615384615384,0.3076923076923077,0.15384615384615385,3.1538461538461537,1.2307692307692308,1.9230769230769231,1.9230769230769231,2.5384615384615383,1.0153846153846153,1.5153846153846153
SF,Bayern Munich,12,8,2,2,26,12,14,26,27.4,14.2,13.2,1.1,70,14,29,4,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.1666666666666665,1.0,1.1666666666666667,2.1666666666666665,2.283333333333333,1.1833333333333333,1.0999999999999999
SF,Roma,12,6,2,4,21,19,2,20,19.1,18.2,0.9,0.07,"48,587",79,25,4,0.5,0.16666666666666666,0.3333333333333333,1.75,1.5833333333333333,0.16666666666666666,1.6666666666666667,1.5916666666666668,1.5166666666666666,0.075
QF,Barcelona,10,6,3,1,17,6,11,21,13.7,8.9,4.8,0.48,"73,861",36,25,8,0.6,0.3,0.1,1.7,0.6,1.1,2.1,1.3699999999999999,0.89,0.48
QF,Manchester City,10,6,0,4,20,12,8,18,15.7,11.0,4.6,0.46,"48,05",22,22,8,0.6,0.0,0.4,2.0,1.2,0.8,1.8,1.5699999999999998,1.1,0.45999999999999996
QF,Juventus,10,5,3,2,14,12,2,18,16.9,13.6,3.3,0.33,"38,541",80,23,8,0.5,0.3,0.2,1.4,1.2,0.2,1.8,1.69,1.3599999999999999,0.32999999999999996
QF,Sevilla,10,3,5,2,15,15,0,14,16.1,13.9,2.2,0.22,"38,512",50,21,8,0.3,0.5,0.2,1.5,1.5,0.0,1.4,1.61,1.3900000000000001,0.22000000000000003
R16,Tottenham,8,5,2,1,18,8,10,17,13.1,12.6,0.5,0.06,"69,454",81,21,16,0.625,0.25,0.125,2.25,1.0,1.25,2.125,1.6375,1.575,0.0625
R16,Manchester Utd,8,5,1,2,13,5,8,16,18.0,8.2,9.8,1.23,"74,467",64,20,16,0.625,0.125,0.25,1.625,0.625,1.0,2.0,2.25,1.025,1.225
R16,Paris S-G,8,5,0,3,27,9,18,15,17.2,9.5,7.7,0.96,"46,382",39,19,16,0.625,0.0,0.375,3.375,1.125,2.25,1.875,2.15,1.1875,0.9625
R16,Basel,8,5,0,3,13,10,3,15,10.4,10.7,-0.3,-0.04,"34,854",84,19,16,0.625,0.0,0.375,1.625,1.25,0.375,1.875,1.3,1.3375,-0.0375
R16,Shakhtar,8,5,0,3,11,11,0,15,9.9,13.7,-3.8,-0.48,"33,652",8,19,16,0.625,0.0,0.375,1.375,1.375,0.0,1.875,1.2375,1.7125,-0.475
R16,Besiktas,8,4,2,2,12,13,-1,14,8.6,15.1,-6.5,-0.81,"37,448",72,19,16,0.5,0.25,0.25,1.5,1.625,-0.125,1.75,1.075,1.8875,-0.8125
R16,Chelsea,8,3,3,2,17,12,5,12,15.5,7.7,7.8,0.97,"40,218",57,18,16,0.375,0.375,0.25,2.125,1.5,0.625,1.5,1.9375,0.9625,0.975
R16,Porto,8,3,2,3,15,15,0,11,10.9,11.2,-0.3,-0.04,"43,568",41,17,16,0.375,0.25,0.375,1.875,1.875,0.0,1.375,1.3625,1.4,-0.0375
