Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
GR,CSKA Moscow,6,3,0,3,8,10,-2,9,5.7,12.9,-7.2,-1.2,"28,259",83,17,32,0.5,0.0,0.5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1.5,0.9500000000000001,2.15,-1.2
GR,Atletico Madrid,6,1,4,1,5,4,1,7,11.3,6.9,4.4,0.74,"57,596",73,28,32,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,1.1666666666666667,1.8833333333333335,1.1500000000000001,0.7333333333333334
GR,RB Leipzig,6,2,1,3,10,11,-1,7,9.6,7.7,2.0,0.33,"41,374",27,17,32,0.3333333333333333,0.16666666666666666,0.5,1.6666666666666667,1.8333333333333333,-0.16666666666666666,1.1666666666666667,1.5999999999999999,1.2833333333333334,0.3333333333333333
GR,Sporting CP,6,2,1,3,8,9,-1,7,7.3,7.1,0.2,0.04,"46,515",9,17,32,0.3333333333333333,0.16666666666666666,0.5,1.3333333333333333,1.5,-0.16666666666666666,1.1666666666666667,1.2166666666666666,1.1833333333333333,0.03333333333333333
GR,Napoli,6,2,0,4,11,11,0,6,10.1,8.2,1.8,0.31,"25,878",40,10,32,0.3333333333333333,0.0,0.6666666666666666,1.8333333333333333,1.8333333333333333,0.0,1.0,1.6833333333333333,1.3666666666666665,0.3
GR,Spartak Moscow,6,1,3,2,9,13,-4,6,6.8,11.4,-4.6,-0.77,"43,534",44,11,32,0.16666666666666666,0.5,0.3333333333333333,1.5,2.1666666666666665,-0.6666666666666666,1.0,1.1333333333333333,1.9000000000000001,-0.7666666666666666
GR,Feyenoord,6,1,0,5,5,14,-9,3,5.4,8.6,-3.3,-0.54,"41,167",3,6,32,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,2.3333333333333335,-1.5,0.5,0.9,1.4333333333333333,-0.5499999999999999
GR,Celtic,6,1,0,5,5,18,-13,3,4.7,10.5,-5.7,-0.96,"57,921",54,8,32,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,3.0,-2.1666666666666665,0.5,0.7833333333333333,1.75,-0.9500000000000001
GR,NK Maribor,6,0,3,3,3,16,-13,3,4.1,16.1,-12.0,-1.99,"12,349",78,7,32,0.0,0.5,0.5,0.5,2.6666666666666665,-2.1666666666666665,0.5,0.6833333333333332,2.6833333333333336,-2.0
GR,Anderlecht,6,1,0,5,2,17,-15,3,5.4,14.2,-8.8,-1.47,"19,586",25,6,32,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,2.8333333333333335,-2.5,0.5,0.9,2.3666666666666667,-1.4666666666666668
GR,Dortmund,6,0,2,4,7,13,-6,2,9.6,9.8,-0.2,-0.04,"65,402",68,10,32,0.0,0.3333333333333333,0.6666666666666666,1.1666666666666667,2.1666666666666665,-1.0,0.3333333333333333,1.5999999999999999,1.6333333333333335,-0.03333333333333333
GR,Monaco,6,0,2,4,6,16,-10,2,5.9,9.7,-3.8,-0.63,"9,378",76,6,32,0.0,0.3333333333333333,0.6666666666666666,1.0,2.6666666666666665,-1.6666666666666667,0.3333333333333333,0.9833333333333334,1.6166666666666665,-0.6333333333333333
GR,Qarabağ FK,6,0,2,4,2,14,-12,2,2.4,14.8,-12.4,-2.06,"60,741",71,6,32,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.3333333333333335,-2.0,0.3333333333333333,0.39999999999999997,2.466666666666667,-2.066666666666667
GR,APOEL FC,6,0,2,4,2,17,-15,2,3.9,16.5,-12.7,-2.11,"17,211",62,6,32,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.8333333333333335,-2.5,0.3333333333333333,0.65,2.75,-2.1166666666666667
GR,Olympiacos,6,0,1,5,4,13,-9,1,3.4,13.8,-10.3,-1.72,"30,445",63,5,32,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,2.1666666666666665,-1.5,0.16666666666666666,0.5666666666666667,2.3000000000000003,-1.7166666666666668
GR,Benfica,6,0,0,6,1,14,-13,0,6.2,10.4,-4.2,-0.69,"39,492",10,4,32,0.0,0.0,1.0,0.16666666666666666,2.3333333333333335,-2.1666666666666665,0.0,1.0333333333333334,1.7333333333333334,-0.7000000000000001
