Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,team_id,UEFA points,Total points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
GR,Manchester Utd,6,1,1,4,12,15,-3,4,10.5,11.4,-0.9,-0.15,D,"73,175",64,7,92.0,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,2.0,2.5,-0.5,0.6666666666666666,1.75,1.9000000000000001,-0.15
GR,Benfica,6,1,1,4,7,11,-4,4,7.8,15.9,-8.1,-1.34,W,"56,621",10,7,72.0,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.1666666666666667,1.8333333333333333,-0.6666666666666666,0.6666666666666666,1.3,2.65,-1.3499999999999999
GR,RB Salzburg,6,1,1,4,4,8,-4,4,7.4,11.4,-3.9,-0.66,D,"28,477",77,7,50.0,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,-0.6666666666666666,0.6666666666666666,1.2333333333333334,1.9000000000000001,-0.65
GR,Young Boys,6,1,1,4,7,13,-6,4,6.4,15.3,-8.9,-1.48,L,"31,5",70,7,34.5,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.1666666666666667,2.1666666666666665,-1.0,0.6666666666666666,1.0666666666666667,2.5500000000000003,-1.4833333333333334
GR,Braga,6,1,1,4,6,12,-6,4,8.3,10.0,-1.7,-0.28,W,"21,366",55,7,49.0,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,2.0,-1.0,0.6666666666666666,1.3833333333333335,1.6666666666666667,-0.2833333333333333
GR,Celtic,6,1,1,4,5,15,-10,4,4.9,11.7,-6.8,-1.13,W,"56,099",54,7,32.0,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,2.5,-1.6666666666666667,0.6666666666666666,0.8166666666666668,1.95,-1.1333333333333333
GR,Antwerp,6,1,0,5,6,17,-11,3,6.2,11.1,-4.9,-0.81,W,"13,57",6,6,23.0,32,0.16666666666666666,0.0,0.8333333333333334,1.0,2.8333333333333335,-1.8333333333333333,0.5,1.0333333333333334,1.8499999999999999,-0.8166666666666668
GR,Union Berlin,6,0,2,4,6,10,-4,2,5.6,11.5,-5.9,-0.98,L,"72,976",29,6,23.0,32,0.0,0.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,-0.6666666666666666,0.3333333333333333,0.9333333333333332,1.9166666666666667,-0.9833333333333334
GR,Sevilla,6,0,2,4,7,12,-5,2,5.9,10.8,-4.9,-0.81,L,"34,181",50,6,84.0,32,0.0,0.3333333333333333,0.6666666666666666,1.1666666666666667,2.0,-0.8333333333333334,0.3333333333333333,0.9833333333333334,1.8,-0.8166666666666668
GR,Red Star,6,0,1,5,7,15,-8,1,8.7,14.8,-6.1,-1.02,W,"46,202",30,5,40.0,32,0.0,0.16666666666666666,0.8333333333333334,1.1666666666666667,2.5,-1.3333333333333333,0.16666666666666666,1.45,2.466666666666667,-1.0166666666666666
