Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
1,Real Madrid,13,9,0,4,29,14,15,27,21.6,20.1,1.5,0.11,"48,111",48,30,1,0.6923076923076923,0.0,0.3076923076923077,2.230769230769231,1.0769230769230769,1.1538461538461537,2.076923076923077,1.6615384615384616,1.5461538461538462,0.11538461538461539
2,Liverpool,13,10,1,2,30,14,16,31,27.3,13.1,14.2,1.09,"64,118",60,33,2,0.7692307692307693,0.07692307692307693,0.15384615384615385,2.3076923076923075,1.0769230769230769,1.2307692307692308,2.3846153846153846,2.1,1.0076923076923077,1.0923076923076922
SF,Manchester City,12,7,2,3,29,16,13,23,26.6,11.5,15.1,1.26,"49,295",22,27,4,0.5833333333333334,0.16666666666666666,0.25,2.4166666666666665,1.3333333333333333,1.0833333333333333,1.9166666666666667,2.216666666666667,0.9583333333333334,1.2583333333333333
SF,Villarreal,12,5,3,4,20,16,4,18,19.4,18.6,0.9,0.07,"18,61",85,24,4,0.4166666666666667,0.25,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.5,1.6166666666666665,1.55,0.075
QF,Bayern Munich,10,7,2,1,31,7,24,23,26.3,7.7,18.6,1.86,34,14,26,8,0.7,0.2,0.1,3.1,0.7,2.4,2.3,2.63,0.77,1.86
QF,Chelsea,10,7,1,2,21,10,11,22,19.0,11.0,8.0,0.8,"39,076",57,25,8,0.7,0.1,0.2,2.1,1.0,1.1,2.2,1.9,1.1,0.8
QF,Benfica,10,3,4,3,14,17,-3,13,11.8,21.4,-9.7,-0.97,"47,128",10,20,8,0.3,0.4,0.3,1.4,1.7,-0.3,1.3,1.1800000000000002,2.1399999999999997,-0.97
QF,Atletico Madrid,10,3,3,4,9,10,-1,12,12.2,13.2,-1.1,-0.11,"58,158",73,19,8,0.3,0.3,0.4,0.9,1.0,-0.1,1.2,1.22,1.3199999999999998,-0.11000000000000001
R16,Ajax,8,6,1,1,22,8,14,19,19.0,10.0,8.9,1.12,"40,181",42,22,16,0.75,0.125,0.125,2.75,1.0,1.75,2.375,2.375,1.25,1.1125
R16,Juventus,8,5,1,2,11,10,1,16,13.3,10.6,2.7,0.34,"21,968",80,20,16,0.625,0.125,0.25,1.375,1.25,0.125,2.0,1.6625,1.325,0.3375
R16,Paris S-G,8,4,2,2,15,11,4,14,14.5,13.9,0.6,0.08,"44,911",39,19,16,0.5,0.25,0.25,1.875,1.375,0.5,1.75,1.8125,1.7375,0.075
R16,Inter,8,4,1,3,9,7,2,13,12.8,7.8,5.0,0.62,"41,133",43,18,16,0.5,0.125,0.375,1.125,0.875,0.25,1.625,1.6,0.975,0.625
R16,Manchester Utd,8,3,3,2,12,10,2,12,9.4,10.6,-1.2,-0.15,"72,893",64,18,16,0.375,0.375,0.25,1.5,1.25,0.25,1.5,1.175,1.325,-0.15
R16,Lille,8,3,2,3,8,8,0,11,10.5,7.5,2.9,0.37,"37,824",33,17,16,0.375,0.25,0.375,1.0,1.0,0.0,1.375,1.3125,0.9375,0.3625
R16,RB Salzburg,8,3,2,3,10,14,-4,11,12.3,12.7,-0.5,-0.06,"20,812",77,17,16,0.375,0.25,0.375,1.25,1.75,-0.5,1.375,1.5375,1.5875,-0.0625
R16,Sporting CP,8,3,1,4,14,17,-3,10,12.2,12.7,-0.5,-0.07,"37,672",9,16,16,0.375,0.125,0.5,1.75,2.125,-0.375,1.25,1.525,1.5875,-0.0625
GR,Dortmund,6,3,0,3,10,11,-1,9,11.5,7.6,3.8,0.64,"31,607",68,10,32,0.5,0.0,0.5,1.6666666666666667,1.8333333333333333,-0.16666666666666666,1.5,1.9166666666666667,1.2666666666666666,0.6333333333333333
GR,RB Leipzig,6,2,1,3,15,14,1,7,13.4,11.0,2.4,0.4,"21,098",27,17,32,0.3333333333333333,0.16666666666666666,0.5,2.5,2.3333333333333335,0.16666666666666666,1.1666666666666667,2.2333333333333334,1.8333333333333333,0.39999999999999997
GR,Sheriff Tiraspol,6,2,1,3,7,11,-4,7,4.4,12.2,-7.9,-1.32,"5,689",74,9,32,0.3333333333333333,0.16666666666666666,0.5,1.1666666666666667,1.8333333333333333,-0.6666666666666666,1.1666666666666667,0.7333333333333334,2.033333333333333,-1.3166666666666667
GR,Barcelona,6,2,1,3,2,9,-7,7,6.5,9.5,-3.0,-0.51,"45,092",36,15,32,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333,1.5,-1.1666666666666667,1.1666666666666667,1.0833333333333333,1.5833333333333333,-0.5
GR,Sevilla,6,1,3,2,5,5,0,6,7.2,7.8,-0.6,-0.09,"25,468",50,12,32,0.16666666666666666,0.5,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.0,1.0,1.2,1.3,-0.09999999999999999
GR,Atalanta,6,1,3,2,12,13,-1,6,10.2,9.1,1.1,0.18,"11,556",69,16,32,0.16666666666666666,0.5,0.3333333333333333,2.0,2.1666666666666665,-0.16666666666666666,1.0,1.7,1.5166666666666666,0.18333333333333335
GR,Zenit,6,1,2,3,10,10,0,5,9.8,8.0,1.9,0.31,"21,135",53,8,32,0.16666666666666666,0.3333333333333333,0.5,1.6666666666666667,1.6666666666666667,0.0,0.8333333333333334,1.6333333333333335,1.3333333333333333,0.31666666666666665
GR,Young Boys,6,1,2,3,7,12,-5,5,7.4,10.3,-3.0,-0.5,"29,879",70,8,32,0.16666666666666666,0.3333333333333333,0.5,1.1666666666666667,2.0,-0.8333333333333334,0.8333333333333334,1.2333333333333334,1.7166666666666668,-0.5
GR,Wolfsburg,6,1,2,3,5,10,-5,5,4.8,11.1,-6.2,-1.04,"11,463",7,8,32,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.6666666666666667,-0.8333333333333334,0.8333333333333334,0.7999999999999999,1.8499999999999999,-1.0333333333333334
GR,Porto,6,1,2,3,4,11,-7,5,8.0,8.8,-0.8,-0.13,"31,493",41,10,32,0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,1.8333333333333333,-1.1666666666666667,0.8333333333333334,1.3333333333333333,1.4666666666666668,-0.13333333333333333
GR,Milan,6,1,1,4,6,9,-3,4,5.8,10.2,-4.5,-0.74,"43,762",32,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,1.5,-0.5,0.6666666666666666,0.9666666666666667,1.7,-0.75
GR,Club Brugge,6,1,1,4,6,20,-14,4,6.1,19.5,-13.4,-2.23,"25,511",24,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,3.3333333333333335,-2.3333333333333335,0.6666666666666666,1.0166666666666666,3.25,-2.2333333333333334
GR,Shakhtar,6,0,2,4,2,12,-10,2,6.8,10.1,-3.3,-0.55,"22,349",8,6,32,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.0,-1.6666666666666667,0.3333333333333333,1.1333333333333333,1.6833333333333333,-0.5499999999999999
GR,Dynamo Kyiv,6,0,1,5,1,11,-10,1,4.3,9.2,-4.9,-0.82,"27,256",89,5,32,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,1.8333333333333333,-1.6666666666666667,0.16666666666666666,0.7166666666666667,1.5333333333333332,-0.8166666666666668
GR,Malmo,6,0,1,5,1,14,-13,1,1.6,15.1,-13.5,-2.25,"13,634",59,5,32,0.0,0.16666666666666666,0.8333333333333334,0.16666666666666666,2.3333333333333335,-2.1666666666666665,0.16666666666666666,0.26666666666666666,2.5166666666666666,-2.25
GR,Besiktas,6,0,0,6,3,19,-16,0,6.2,19.7,-13.5,-2.26,"19,031",72,4,32,0.0,0.0,1.0,0.5,3.1666666666666665,-2.6666666666666665,0.0,1.0333333333333334,3.283333333333333,-2.25
