Rank,Team,Country,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22,22/23,23/24,Title points,Total points,Country part
,FC Astana,Kaz,1.5,8.0,4.0,8.0,6.0,3.0,1.5,2.0,1.5,3.0,,11.0,6.15
,Malmo,Swe,6.0,6.0,,1.0,7.0,8.0,2.5,5.0,3.0,,,18.5,8.48
,Steaua,Rom,5.0,1.5,5.0,9.0,2.5,2.5,2.0,1.5,2.5,2.0,4.0,10.5,7.465
,Newcastle Utd,Eng,,,,,,,,,,8.0,,8.0,37.253
103.0,BATE Borisov,Bls,6.0,8.0,1.5,4.0,8.0,2.5,1.5,1.5,1.5,2.5,,9.5,5.7
104.0,Sheriff Tiraspol,Mol,1.5,0.25,1.0,7.0,2.5,2.0,2.0,9.0,4.0,3.0,,20.0,4.175
,Union Berlin,Ger,,,,,,,,5.0,12.0,6.0,,23.0,30.624
,Hoffenheim,Ger,,,,4.0,7.0,,12.0,,,,,12.0,30.624
115.0,Spartak Moscow,Rus,,,1.0,11.0,4.0,2.5,,12.0,,,,14.5,13.836
,NK Maribor,Slo,7.0,1.0,1.5,7.0,2.0,2.5,1.0,1.5,2.5,2.0,,9.5,5.65
127.0,Lens,Fra,,,,,,,,,,10.0,,10.0,24.265
134.0,AEK Athens,Gre,,,1.0,9.0,4.0,2.5,3.0,1.5,,3.0,,10.0,11.185
136.0,Antwerp,Bel,,,,,,2.5,8.0,4.0,2.5,6.0,,23.0,17.22
162.0,Maccabi Haifa,Isr,,,0.5,,,1.5,2.5,3.0,6.0,4.0,,17.0,9.75
,Austria Wien,Aut,,,4.0,4.0,,2.0,,1.5,2.5,2.0,,8.0,12.65
,Rostov,Rus,1.5,,12.0,,,,2.0,,,,,2.0,13.836
