Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av
W,Barcelona,13,11,0,2,31,11,20,33,"89,813",36,34,1,0.8461538461538461,0.0,0.15384615384615385,2.3846153846153846,0.8461538461538461,1.5384615384615385,2.5384615384615383
F,Juventus,13,7,3,3,17,10,7,24,"35,985",80,29,2,0.5384615384615384,0.23076923076923078,0.23076923076923078,1.3076923076923077,0.7692307692307693,0.5384615384615384,1.8461538461538463
SF,Real Madrid,12,8,2,2,24,9,15,26,"71,579",48,29,4,0.6666666666666666,0.16666666666666666,0.16666666666666666,2.0,0.75,1.25,2.1666666666666665
SF,Bayern Munich,12,8,1,3,33,13,20,25,69,14,28,4,0.6666666666666666,0.08333333333333333,0.25,2.75,1.0833333333333333,1.6666666666666667,2.0833333333333335
QF,Porto,12,8,3,1,28,12,16,27,"35,865",41,25,8,0.6666666666666666,0.25,0.08333333333333333,2.3333333333333335,1.0,1.3333333333333333,2.25
QF,Atletico Madrid,10,5,2,3,15,5,10,17,"43,954",73,22,8,0.5,0.2,0.3,1.5,0.5,1.0,1.7
QF,Monaco,10,4,3,3,7,5,2,15,"13,275",76,21,8,0.4,0.3,0.3,0.7,0.5,0.2,1.5
QF,Paris S-G,10,4,3,3,14,15,-1,15,"46,077",39,21,8,0.4,0.3,0.3,1.4,1.5,-0.1,1.5
R16,Arsenal,10,6,2,2,19,11,8,20,"59,861",67,20,16,0.6,0.2,0.2,1.9,1.1,0.8,2.0
R16,Leverkusen,10,6,1,3,15,7,8,19,"26,941",49,18,16,0.6,0.1,0.3,1.5,0.7,0.8,1.9
R16,Chelsea,8,4,4,0,20,6,14,16,"39,851",57,21,16,0.5,0.5,0.0,2.5,0.75,1.75,2.0
R16,Dortmund,8,4,1,3,15,9,6,13,"65,851",68,18,16,0.5,0.125,0.375,1.875,1.125,0.75,1.625
R16,Schalke 04,8,3,2,3,13,19,-6,11,"51,706",12,17,16,0.375,0.25,0.375,1.625,2.375,-0.75,1.375
R16,Shakhtar,8,2,4,2,15,11,4,10,"32,516",8,17,16,0.25,0.5,0.25,1.875,1.375,0.5,1.25
R16,Manchester City,8,2,2,4,10,11,-1,8,"43,06",22,15,16,0.25,0.25,0.5,1.25,1.375,-0.125,1.0
R16,Basel,8,2,2,4,8,13,-5,8,"35,434",84,15,16,0.25,0.25,0.5,1.0,1.625,-0.625,1.0
GR,Zenit,10,5,1,4,11,7,4,16,"14,983",53,17,32,0.5,0.1,0.4,1.1,0.7,0.4,1.6
GR,NK Maribor,12,3,6,3,11,16,-5,15,"12,554",78,7,32,0.25,0.5,0.25,0.9166666666666666,1.3333333333333333,-0.4166666666666667,1.25
GR,Ludogorets,12,3,4,5,13,18,-5,13,"35,925",5,7,32,0.25,0.3333333333333333,0.4166666666666667,1.0833333333333333,1.5,-0.4166666666666667,1.0833333333333333
GR,Malmo,12,4,1,7,13,21,-8,13,"20,5",59,6,32,0.3333333333333333,0.08333333333333333,0.5833333333333334,1.0833333333333333,1.75,-0.6666666666666666,1.0833333333333333
GR,BATE Borisov,12,3,3,6,10,28,-18,12,"11,382",23,6,32,0.25,0.25,0.5,0.8333333333333334,2.3333333333333335,-1.5,1.0
GR,Athletic Club,8,3,2,3,9,8,1,11,"46,031",88,10,32,0.375,0.25,0.375,1.125,1.0,0.125,1.375
GR,Olympiacos,6,3,0,3,10,13,-3,9,"30,306",63,11,32,0.5,0.0,0.5,1.6666666666666667,2.1666666666666665,-0.5,1.5
GR,APOEL FC,10,2,3,5,10,15,-5,9,"18,825",62,5,32,0.2,0.3,0.5,1.0,1.5,-0.5,0.9
GR,Sporting CP,6,2,1,3,12,12,0,7,"36,315",9,10,32,0.3333333333333333,0.16666666666666666,0.5,2.0,2.0,0.0,1.1666666666666667
GR,Anderlecht,6,1,3,2,8,10,-2,6,"19,462",25,10,32,0.16666666666666666,0.5,0.3333333333333333,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1.0
GR,Ajax,6,1,2,3,8,10,-2,5,"51,447",42,14,32,0.16666666666666666,0.3333333333333333,0.5,1.3333333333333333,1.6666666666666667,-0.3333333333333333,0.8333333333333334
GR,Liverpool,6,1,2,3,5,9,-4,5,"43,372",60,10,32,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,1.5,-0.6666666666666666,0.8333333333333334
GR,Benfica,6,1,2,3,2,6,-4,5,"28,474",10,8,32,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,1.0,-0.6666666666666666,0.8333333333333334
GR,Roma,6,1,2,3,8,14,-6,5,"55,183",79,12,32,0.16666666666666666,0.3333333333333333,0.5,1.3333333333333333,2.3333333333333335,-1.0,0.8333333333333334
GR,CSKA Moscow,6,1,2,3,6,13,-7,5,"28,5",83,8,32,0.16666666666666666,0.3333333333333333,0.5,1.0,2.1666666666666665,-1.1666666666666667,0.8333333333333334
GR,Galatasaray,6,0,1,5,4,19,-15,1,"28,489",17,5,32,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,3.1666666666666665,-2.5,0.16666666666666666
