Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
1,Chelsea,13,9,3,1,23,4,19,30,26.0,9.0,17.0,1.31,333,57,33,1,0.6923076923076923,0.23076923076923078,0.07692307692307693,1.7692307692307692,0.3076923076923077,1.4615384615384615,2.3076923076923075,2.0,0.6923076923076923,1.3076923076923077
F,Manchester City,13,11,1,1,25,5,20,34,22.5,7.2,15.3,1.18,"2,016",22,35,2,0.8461538461538461,0.07692307692307693,0.07692307692307693,1.9230769230769231,0.38461538461538464,1.5384615384615385,2.6153846153846154,1.7307692307692308,0.5538461538461539,1.176923076923077
SF,Real Madrid,12,6,3,3,19,14,5,21,19.2,15.6,3.7,0.3,,48,26,4,0.5,0.25,0.25,1.5833333333333333,1.1666666666666667,0.4166666666666667,1.75,1.5999999999999999,1.3,0.30833333333333335
SF,Paris S-G,12,6,1,5,22,15,7,19,21.4,18.8,2.6,0.22,,39,24,4,0.5,0.08333333333333333,0.4166666666666667,1.8333333333333333,1.25,0.5833333333333334,1.5833333333333333,1.7833333333333332,1.5666666666666667,0.21666666666666667
QF,Bayern Munich,10,8,1,1,27,10,17,25,21.8,14.0,7.8,0.78,,14,27,8,0.8,0.1,0.1,2.7,1.0,1.7,2.5,2.18,1.4,0.78
QF,Liverpool,10,6,2,2,15,6,9,20,14.7,13.9,0.8,0.08,,60,24,8,0.6,0.2,0.2,1.5,0.6,0.9,2.0,1.47,1.3900000000000001,0.08
QF,Porto,10,6,1,3,15,9,6,19,12.5,15.1,-2.6,-0.26,490,41,23,8,0.6,0.1,0.3,1.5,0.9,0.6,1.9,1.25,1.51,-0.26
QF,Dortmund,10,5,2,3,19,13,6,17,14.4,13.6,0.8,0.08,,68,22,8,0.5,0.2,0.3,1.9,1.3,0.6,1.7,1.44,1.3599999999999999,0.08
R16,Juventus,8,6,0,2,18,8,10,18,15.8,9.8,6.0,0.76,,80,21,16,0.75,0.0,0.25,2.25,1.0,1.25,2.25,1.975,1.225,0.75
R16,Barcelona,8,5,1,2,18,10,8,16,20.4,12.9,7.5,0.94,,36,20,16,0.625,0.125,0.25,2.25,1.25,1.0,2.0,2.55,1.6125,0.9375
R16,Sevilla,8,4,2,2,13,13,0,14,12.1,11.1,1.0,0.12,,50,19,16,0.5,0.25,0.25,1.625,1.625,0.0,1.75,1.5125,1.3875,0.125
R16,RB Leipzig,8,4,0,4,11,16,-5,12,10.6,12.8,-2.2,-0.27,250,27,17,16,0.5,0.0,0.5,1.375,2.0,-0.625,1.5,1.325,1.6,-0.275
R16,Atalanta,8,3,2,3,11,12,-1,11,11.7,10.4,1.3,0.16,,69,17,16,0.375,0.25,0.375,1.375,1.5,-0.125,1.375,1.4625,1.3,0.1625
R16,Lazio,8,2,4,2,13,13,0,10,13.1,11.6,1.5,0.19,250,86,17,16,0.25,0.5,0.25,1.625,1.625,0.0,1.25,1.6375,1.45,0.1875
R16,Atletico Madrid,8,2,3,3,7,11,-4,9,9.2,10.3,-1.1,-0.14,,73,16,16,0.25,0.375,0.375,0.875,1.375,-0.5,1.125,1.15,1.2875,-0.1375
R16,M'Gladbach,8,2,2,4,16,13,3,8,11.6,13.8,-2.3,-0.28,,51,15,16,0.25,0.25,0.5,2.0,1.625,0.375,1.0,1.45,1.725,-0.2875
GR,Manchester Utd,6,3,0,3,15,10,5,9,11.5,8.4,3.1,0.51,374,64,26,32,0.5,0.0,0.5,2.5,1.6666666666666667,0.8333333333333334,1.5,1.9166666666666667,1.4000000000000001,0.5166666666666667
GR,Club Brugge,6,2,2,2,8,10,-2,8,8.5,9.3,-0.8,-0.13,,24,11,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,-0.3333333333333333,1.3333333333333333,1.4166666666666667,1.55,-0.13333333333333333
GR,Shakhtar,6,2,2,2,5,12,-7,8,4.7,11.0,-6.3,-1.05,"3,393",8,14,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,2.0,-1.1666666666666667,1.3333333333333333,0.7833333333333333,1.8333333333333333,-1.05
GR,Ajax,6,2,1,3,7,7,0,7,8.1,8.0,0.0,0.01,,42,19,32,0.3333333333333333,0.16666666666666666,0.5,1.1666666666666667,1.1666666666666667,0.0,1.1666666666666667,1.3499999999999999,1.3333333333333333,0.0
GR,Inter,6,1,3,2,7,9,-2,6,8.3,6.5,1.8,0.3,333,43,9,32,0.16666666666666666,0.5,0.3333333333333333,1.1666666666666667,1.5,-0.3333333333333333,1.0,1.3833333333333335,1.0833333333333333,0.3
GR,Krasnodar,6,1,2,3,6,11,-5,5,6.4,11.9,-5.5,-0.92,"9,948",35,8,32,0.16666666666666666,0.3333333333333333,0.5,1.0,1.8333333333333333,-0.8333333333333334,0.8333333333333334,1.0666666666666667,1.9833333333333334,-0.9166666666666666
GR,RB Salzburg,6,1,1,4,10,17,-7,4,11.2,9.3,2.0,0.33,1,77,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.6666666666666667,2.8333333333333335,-1.1666666666666667,0.6666666666666666,1.8666666666666665,1.55,0.3333333333333333
GR,Dynamo Kyiv,6,1,1,4,4,13,-9,4,6.3,13.0,-6.7,-1.12,"4,95",89,10,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,2.1666666666666665,-1.5,0.6666666666666666,1.05,2.1666666666666665,-1.1166666666666667
GR,Loko Moscow,6,0,3,3,5,10,-5,3,4.9,11.1,-6.2,-1.03,"7,701",26,7,32,0.0,0.5,0.5,0.8333333333333334,1.6666666666666667,-0.8333333333333334,0.5,0.8166666666666668,1.8499999999999999,-1.0333333333333334
GR,Olympiacos,6,1,0,5,2,10,-8,3,4.1,9.5,-5.4,-0.9,,63,10,32,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,1.6666666666666667,-1.3333333333333333,0.5,0.6833333333333332,1.5833333333333333,-0.9
GR,Basaksehir,6,1,0,5,7,18,-11,3,5.2,12.2,-7.0,-1.16,233,66,6,32,0.16666666666666666,0.0,0.8333333333333334,1.1666666666666667,3.0,-1.8333333333333333,0.5,0.8666666666666667,2.033333333333333,-1.1666666666666667
GR,Marseille,6,1,0,5,2,13,-11,3,5.9,10.1,-4.3,-0.71,,52,6,32,0.16666666666666666,0.0,0.8333333333333334,0.3333333333333333,2.1666666666666665,-1.8333333333333333,0.5,0.9833333333333334,1.6833333333333333,-0.7166666666666667
GR,Midtjylland,6,0,2,4,4,13,-9,2,7.1,11.3,-4.2,-0.71,88,4,6,32,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.1666666666666665,-1.5,0.3333333333333333,1.1833333333333333,1.8833333333333335,-0.7000000000000001
GR,Rennes,6,0,1,5,3,11,-8,1,7.6,12.4,-4.8,-0.8,"1,658",28,5,32,0.0,0.16666666666666666,0.8333333333333334,0.5,1.8333333333333333,-1.3333333333333333,0.16666666666666666,1.2666666666666666,2.066666666666667,-0.7999999999999999
GR,Zenit,6,0,1,5,4,13,-9,1,5.6,11.3,-5.7,-0.95,"14,99",53,5,32,0.0,0.16666666666666666,0.8333333333333334,0.6666666666666666,2.1666666666666665,-1.5,0.16666666666666666,0.9333333333333332,1.8833333333333335,-0.9500000000000001
GR,Ferencvaros,6,0,1,5,5,17,-12,1,5.6,12.7,-7.1,-1.19,"8,234",46,5,32,0.0,0.16666666666666666,0.8333333333333334,0.8333333333333334,2.8333333333333335,-2.0,0.16666666666666666,0.9333333333333332,2.1166666666666667,-1.1833333333333333
