Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av
W,Real Madrid,13,9,3,1,35,18,17,30,"75,547",48,33,1,0.6923076923076923,0.23076923076923078,0.07692307692307693,2.6923076923076925,1.3846153846153846,1.3076923076923077,2.3076923076923075
F,Juventus,13,9,3,1,22,6,16,30,"33,642",80,33,2,0.6923076923076923,0.23076923076923078,0.07692307692307693,1.6923076923076923,0.46153846153846156,1.2307692307692308,2.3076923076923075
SF,Atletico Madrid,12,9,1,2,18,10,8,28,"46,751",73,29,4,0.75,0.08333333333333333,0.16666666666666666,1.5,0.8333333333333334,0.6666666666666666,2.3333333333333335
SF,Monaco,12,5,3,4,19,19,0,18,"13,471",76,25,4,0.4166666666666667,0.25,0.3333333333333333,1.5833333333333333,1.5833333333333333,0.0,1.5
QF,Barcelona,10,6,1,3,26,12,14,19,"85,863",36,23,8,0.6,0.1,0.3,2.6,1.2,1.4,1.9
QF,Bayern Munich,10,6,0,4,27,14,13,18,70,14,22,8,0.6,0.0,0.4,2.7,1.4,1.3,1.8
QF,Dortmund,10,5,2,3,28,16,12,17,"63,698",68,22,8,0.5,0.2,0.3,2.8,1.6,1.2,1.7
QF,Leicester City,10,5,2,3,11,10,1,17,"31,471",90,22,8,0.5,0.2,0.3,1.1,1.0,0.1,1.7
R16,Paris S-G,8,4,3,1,18,13,5,15,"45,516",39,20,16,0.5,0.375,0.125,2.25,1.625,0.625,1.875
R16,Arsenal,8,4,2,2,20,16,4,14,"59,869",67,19,16,0.5,0.25,0.25,2.5,2.0,0.5,1.75
R16,Sevilla,8,4,2,2,9,6,3,14,"37,433",50,19,16,0.5,0.25,0.25,1.125,0.75,0.375,1.75
R16,Manchester City,8,3,4,1,17,13,4,13,"47,065",22,18,16,0.375,0.5,0.125,2.125,1.625,0.5,1.625
R16,Porto,8,3,2,3,9,6,3,11,"38,794",41,17,16,0.375,0.25,0.375,1.125,0.75,0.375,1.375
R16,Napoli,8,3,2,3,13,14,-1,11,"40,054",40,17,16,0.375,0.25,0.375,1.625,1.75,-0.125,1.375
R16,Benfica,8,3,2,3,11,14,-3,11,"51,131",10,17,16,0.375,0.25,0.375,1.375,1.75,-0.375,1.375
R16,Leverkusen,8,2,4,2,11,11,0,10,"25,894",49,18,16,0.25,0.5,0.25,1.375,1.375,0.0,1.25
GR,FC Copenhagen,6,2,3,1,7,2,5,9,"30,596",15,16,32,0.3333333333333333,0.5,0.16666666666666666,1.1666666666666667,0.3333333333333333,0.8333333333333334,1.5
GR,Lyon,6,2,2,2,5,3,2,8,"50,028",34,22,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.5,0.3333333333333333,1.3333333333333333
GR,Tottenham,6,2,1,3,6,6,0,7,"77,519",81,10,32,0.3333333333333333,0.16666666666666666,0.5,1.0,1.0,0.0,1.1666666666666667
GR,Besiktas,6,1,4,1,9,14,-5,7,"35,184",72,20,32,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.5,2.3333333333333335,-0.8333333333333334,1.1666666666666667
GR,Dynamo Kyiv,6,1,2,3,8,6,2,5,"25,055",89,8,32,0.16666666666666666,0.3333333333333333,0.5,1.3333333333333333,1.0,0.3333333333333333,0.8333333333333334
GR,Rostov,6,1,2,3,6,12,-6,5,"14,419",31,12,32,0.16666666666666666,0.3333333333333333,0.5,1.0,2.0,-1.0,0.8333333333333334
GR,M'Gladbach,6,1,2,3,5,12,-7,5,"46,162",51,12,32,0.16666666666666666,0.3333333333333333,0.5,0.8333333333333334,2.0,-1.1666666666666667,0.8333333333333334
GR,Legia Warsaw,6,1,1,4,9,24,-15,4,"18,512",1,8,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.5,4.0,-2.5,0.6666666666666666
GR,Sporting CP,6,1,0,5,5,8,-3,3,"45,583",9,6,32,0.16666666666666666,0.0,0.8333333333333334,0.8333333333333334,1.3333333333333333,-0.5,0.5
GR,CSKA Moscow,6,0,3,3,5,11,-6,3,"23,147",83,7,32,0.0,0.5,0.5,0.8333333333333334,1.8333333333333333,-1.0,0.5
GR,Ludogorets,6,0,3,3,6,15,-9,3,"22,946",5,8,32,0.0,0.5,0.5,1.0,2.5,-1.5,0.5
GR,Celtic,6,0,3,3,5,16,-11,3,"57,781",54,7,32,0.0,0.5,0.5,0.8333333333333334,2.6666666666666665,-1.8333333333333333,0.5
GR,PSV Eindhoven,6,0,2,4,4,11,-7,2,"34,13",19,6,32,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.8333333333333333,-1.1666666666666667,0.3333333333333333
GR,Basel,6,0,2,4,3,12,-9,2,"33,83",84,6,32,0.0,0.3333333333333333,0.6666666666666666,0.5,2.0,-1.5,0.3333333333333333
GR,Club Brugge,6,0,0,6,2,14,-12,0,"21,092",24,4,32,0.0,0.0,1.0,0.3333333333333333,2.3333333333333335,-2.0,0.0
GR,Dinamo Zagreb,6,0,0,6,0,15,-15,0,"12,577",20,4,32,0.0,0.0,1.0,0.0,2.5,-2.5,0.0
