Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,team_id,UEFA points,Rk_transformed,W_av,D_av,L_av,GF_av,GA_av,GD_av,Pts_av,xG_av,xGA_av,xGD_av
W,Liverpool,13,8,1,4,24,12,12,25,28.3,13.9,14.4,1.11,"52,907",60,29,1,0.6153846153846154,0.07692307692307693,0.3076923076923077,1.8461538461538463,0.9230769230769231,0.9230769230769231,1.9230769230769231,2.176923076923077,1.0692307692307692,1.1076923076923078
F,Tottenham,13,6,2,5,20,19,1,20,20.5,16.1,4.4,0.34,"62,947",81,26,2,0.46153846153846156,0.15384615384615385,0.38461538461538464,1.5384615384615385,1.4615384615384615,0.07692307692307693,1.5384615384615385,1.5769230769230769,1.2384615384615385,0.3384615384615385
SF,Barcelona,12,8,3,1,26,10,16,27,23.1,14.4,8.6,0.72,"86,178",36,30,4,0.6666666666666666,0.25,0.08333333333333333,2.1666666666666665,0.8333333333333334,1.3333333333333333,2.25,1.925,1.2,0.7166666666666667
SF,Ajax,12,6,4,2,22,13,9,22,22.3,17.8,4.5,0.38,"52,056",42,27,4,0.5,0.3333333333333333,0.16666666666666666,1.8333333333333333,1.0833333333333333,0.75,1.8333333333333333,1.8583333333333334,1.4833333333333334,0.375
QF,Manchester City,10,7,1,2,30,12,18,22,22.9,10.1,12.8,1.28,"49,535",22,25,8,0.7,0.1,0.2,3.0,1.2,1.8,2.2,2.29,1.01,1.28
QF,Porto,10,6,1,3,20,15,5,19,16.9,19.4,-2.5,-0.25,"43,415",41,23,8,0.6,0.1,0.3,2.0,1.5,0.5,1.9,1.69,1.94,-0.25
QF,Juventus,10,5,1,4,14,9,5,16,18.9,10.1,8.8,0.88,"40,766",80,21,8,0.5,0.1,0.4,1.4,0.9,0.5,1.6,1.89,1.01,0.8800000000000001
QF,Manchester Utd,10,4,1,5,10,11,-1,13,10.4,13.7,-3.2,-0.32,"73,708",64,19,8,0.4,0.1,0.5,1.0,1.1,-0.1,1.3,1.04,1.3699999999999999,-0.32
R16,Atletico Madrid,8,5,1,2,11,9,2,16,8.1,9.1,-1.0,-0.12,"60,068",73,20,16,0.625,0.125,0.25,1.375,1.125,0.25,2.0,1.0125,1.1375,-0.125
R16,Bayern Munich,8,4,3,1,16,8,8,15,14.7,9.3,5.4,0.68,"69,536",14,20,16,0.5,0.375,0.125,2.0,1.0,1.0,1.875,1.8375,1.1625,0.675
R16,Real Madrid,8,5,0,3,15,10,5,15,16.9,10.8,6.1,0.76,"66,314",48,19,16,0.625,0.0,0.375,1.875,1.25,0.625,1.875,2.1125,1.35,0.7625
R16,Paris S-G,8,4,2,2,20,12,8,14,16.9,10.5,6.4,0.8,"45,144",39,19,16,0.5,0.25,0.25,2.5,1.5,1.0,1.75,2.1125,1.3125,0.8
R16,Dortmund,8,4,1,3,10,6,4,13,12.2,6.8,5.5,0.68,"66,099",68,18,16,0.5,0.125,0.375,1.25,0.75,0.5,1.625,1.525,0.85,0.6875
R16,Roma,8,4,0,4,14,12,2,12,15.0,14.0,1.0,0.12,"49,525",79,17,16,0.5,0.0,0.5,1.75,1.5,0.25,1.5,1.875,1.75,0.125
R16,Schalke 04,8,3,2,3,8,14,-6,11,10.5,11.9,-1.4,-0.17,"50,949",12,17,16,0.375,0.25,0.375,1.0,1.75,-0.75,1.375,1.3125,1.4875,-0.175
R16,Lyon,8,1,6,1,13,16,-3,9,12.3,17.2,-5.0,-0.62,"41,945",34,17,16,0.125,0.75,0.125,1.625,2.0,-0.375,1.125,1.5375,2.15,-0.625
GR,Napoli,6,2,3,1,7,5,2,9,10.9,6.5,4.4,0.73,"45,672",40,18,32,0.3333333333333333,0.5,0.16666666666666666,1.1666666666666667,0.8333333333333334,0.3333333333333333,1.5,1.8166666666666667,1.0833333333333333,0.7333333333333334
GR,Valencia,6,2,2,2,6,6,0,8,6.9,11.1,-4.2,-0.7,"39,697",45,23,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.3333333333333333,1.1500000000000001,1.8499999999999999,-0.7000000000000001
GR,Inter,6,2,2,2,6,7,-1,8,8.6,7.8,0.8,0.13,"65,857",43,15,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.1666666666666667,-0.16666666666666666,1.3333333333333333,1.4333333333333333,1.3,0.13333333333333333
GR,CSKA Moscow,6,2,1,3,8,9,-1,7,6.9,11.6,-4.8,-0.79,"63,052",83,9,32,0.3333333333333333,0.16666666666666666,0.5,1.3333333333333333,1.5,-0.16666666666666666,1.1666666666666667,1.1500000000000001,1.9333333333333333,-0.7999999999999999
GR,Benfica,6,2,1,3,6,11,-5,7,6.2,10.7,-4.5,-0.75,"48,412",10,17,32,0.3333333333333333,0.16666666666666666,0.5,1.0,1.8333333333333333,-0.8333333333333334,1.1666666666666667,1.0333333333333334,1.7833333333333332,-0.75
GR,Viktoria Plzen,6,2,1,3,7,16,-9,7,7.8,12.3,-4.5,-0.75,"11,337",87,11,32,0.3333333333333333,0.16666666666666666,0.5,1.1666666666666667,2.6666666666666665,-1.5,1.1666666666666667,1.3,2.0500000000000003,-0.75
GR,Club Brugge,6,1,3,2,6,5,1,6,5.4,6.3,-0.9,-0.15,"24,928",24,11,32,0.16666666666666666,0.5,0.3333333333333333,1.0,0.8333333333333334,0.16666666666666666,1.0,0.9,1.05,-0.15
GR,Shakhtar,6,1,3,2,8,16,-8,6,6.9,13.2,-6.3,-1.04,"34,786",8,10,32,0.16666666666666666,0.5,0.3333333333333333,1.3333333333333333,2.6666666666666665,-1.3333333333333333,1.0,1.1500000000000001,2.1999999999999997,-1.05
GR,Galatasaray,6,1,1,4,5,8,-3,4,9.9,9.6,0.2,0.04,"41,394",17,8,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,-0.5,0.6666666666666666,1.6500000000000001,1.5999999999999999,0.03333333333333333
GR,Young Boys,6,1,1,4,4,12,-8,4,6.5,11.5,-5.0,-0.83,"30,785",70,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,2.0,-1.3333333333333333,0.6666666666666666,1.0833333333333333,1.9166666666666667,-0.8333333333333334
GR,Red Star,6,1,1,4,5,17,-12,4,2.9,19.4,-16.6,-2.76,"49,596",30,7,32,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.8333333333333334,2.8333333333333335,-2.0,0.6666666666666666,0.48333333333333334,3.233333333333333,-2.766666666666667
GR,Hoffenheim,6,0,3,3,11,14,-3,3,11.1,12.3,-1.2,-0.21,"23,972",16,7,32,0.0,0.5,0.5,1.8333333333333333,2.3333333333333335,-0.5,0.5,1.8499999999999999,2.0500000000000003,-0.19999999999999998
GR,Loko Moscow,6,1,0,5,4,12,-8,3,6.6,9.2,-2.5,-0.42,"17,181",26,6,32,0.16666666666666666,0.0,0.8333333333333334,0.6666666666666666,2.0,-1.3333333333333333,0.5,1.0999999999999999,1.5333333333333332,-0.4166666666666667
GR,PSV Eindhoven,6,0,2,4,6,13,-7,2,7.1,13.9,-6.8,-1.13,"34,783",19,6,32,0.0,0.3333333333333333,0.6666666666666666,1.0,2.1666666666666665,-1.1666666666666667,0.3333333333333333,1.1833333333333333,2.316666666666667,-1.1333333333333333
GR,Monaco,6,0,1,5,2,14,-12,1,5.1,11.0,-5.9,-0.99,"9,218",76,5,32,0.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,2.3333333333333335,-2.0,0.16666666666666666,0.85,1.8333333333333333,-0.9833333333333334
GR,AEK Athens,6,0,0,6,2,13,-11,0,4.7,11.9,-7.2,-1.2,"39,377",11,4,32,0.0,0.0,1.0,0.3333333333333333,2.1666666666666665,-1.8333333333333333,0.0,0.7833333333333333,1.9833333333333334,-1.2
