Squad,Rk_transformed
Manchester City,1.0
Real Madrid,2.0
Bayern Munich,3.0
Atletico Madrid,4.0
Arsenal,5.0
PSV Eindhoven,6.0
Dortmund,7.0
RB Leipzig,8.0
Real Sociedad,9.0
Inter,10.0
Galatasaray,11.0
Celtic,12.0
Braga,13.0
Antwerp,14.0
Young Boys,15.0
Union Berlin,16.0
RB Salzburg,17.0
Benfica,18.0
Manchester Utd,19.0
Newcastle Utd,20.0
FC Copenhagen,21.0
Lens,22.0
Milan,23.0
Shakhtar,24.0
Sevilla,25.0
Napoli,26.0
Paris S-G,27.0
Barcelona,28.0
Porto,29.0
Lazio,30.0
Feyenoord,31.0
Red Star,32.0
