Squad,Rk_transformed
Manchester City,1.0
Real Madrid,2.0
Napoli,3.0
Dortmund,4.0
Real Sociedad,5.0
Inter,6.0
Barcelona,7.0
RB Leipzig,8.0
Lazio,9.0
Arsenal,10.0
Atletico Madrid,11.0
Bayern Munich,12.0
Porto,13.0
Benfica,14.0
Union Berlin,15.0
Antwerp,16.0
Celtic,17.0
Braga,18.0
Young Boys,19.0
RB Salzburg,20.0
Manchester Utd,21.0
FC Copenhagen,22.0
Newcastle Utd,23.0
Feyenoord,24.0
Lens,25.0
Milan,26.0
Shakhtar,27.0
Sevilla,28.0
PSV Eindhoven,29.0
Paris S-G,30.0
Galatasaray,31.0
Red Star,32.0
