Squad,Rk_transformed
Manchester City,10.120621026720091
Real Madrid,10.093954360053425
Bayern Munich,15.948115440115439
Atletico Madrid,15.96354401154401
Arsenal,16.459784992784993
Lazio,16.015559793148032
Porto,18.029755198018357
Barcelona,18.16774798301114
Inter,16.283841178429416
Real Sociedad,16.79960308319132
RB Leipzig,18.41036703063019
Paris S-G,24.764248990775307
Dortmund,19.297439644291035
Napoli,20.117136816399977
PSV Eindhoven,24.017344940577146
FC Copenhagen,27.579316658917293
Shakhtar,30.4576558996559
Milan,31.821610056610066
Lens,31.961727272727277
Feyenoord,31.670294372294364
Newcastle Utd,31.803692307692312
Galatasaray,31.670961038961032
Manchester Utd,31.670961038961032
Benfica,32.0
RB Salzburg,31.803692307692312
Young Boys,32.0
Braga,32.0
Celtic,32.0
Antwerp,32.0
Union Berlin,32.0
Sevilla,32.0
Red Star,32.0
